1 	 	 2 	 	 3 	
T 	 DT 	 T 	 DT 	 T 	 DT	
27,37	0	28	0	27,25	-0,0599999999999987	
27,37	0	28	0	27,25	0	
27,37	0	28	0	27,25	0	
27,37	0	28	0	27,25	0	
27,37	0	28	0	27,25	0	
27,37	0	28	0	27,25	0	
27,37	0	28	0	27,25	0	
27,37	0	28	0	27,25	0	
27,37	0	28	0	27,25	0	
27,37	0	28	0	27,25	0	
27,37	0	28	0	27,25	0	
27,37	0	28	0	27,25	0	
27,37	0	28	0	27,19	-0,0599999999999987	
27,37	0	28	0	27,19	0	
27,37	0	28	0	27,19	0	
27,37	0	28	0	27,19	0	
27,37	0	28	0	27,19	0	
27,37	0	28	0	27,19	0	
27,37	0	28	0	27,19	0	
27,37	0	28	0	27,19	0	
27,37	0	28	0	27,19	0	
27,37	0	28	0	27,19	0	
27,37	0	28	0	27,19	0	
27,37	0	28	0	27,19	0	
27,31	-0,0600000000000023	28	0	27,19	0	
27,31	0	28	0	27,19	0	
27,31	0	28	0	27,19	0	
27,31	0	28	0	27,19	0	
27,31	0	28	0	27,12	-0,0700000000000003	
27,31	0	28	0	27,12	0	
27,31	0	28	0	27,12	0	
27,31	0	28	0	27,12	0	
27,31	0	28	0	27,12	0	
27,31	0	28	0	27,12	0	
27,31	0	28	0	27,12	0	
27,31	0	28	0	27,12	0	
27,31	0	28	0	27,12	0	
27,31	0	28	0	27,12	0	
27,31	0	28	0	27,12	0	
27,31	0	28	0	27,12	0	
27,31	0	28	0	27,12	0	
27,31	0	28	0	27,12	0	
27,31	0	28	0	27,12	0	
27,31	0	28	0	27,12	0	
27,31	0	28	0	27,12	0	
27,31	0	28	0	27,12	0	
27,31	0	28	0	27,12	0	
27,31	0	28	0	27,12	0	
27,31	0	28	0	27,06	-0,0600000000000023	
27,31	0	28	0	27,06	0	
27,31	0	28	0	27,06	0	
27,31	0	28	0	27,06	0	
27,31	0	28	0	27,06	0	
27,31	0	28	0	27,06	0	
27,25	-0,0599999999999987	28	0	27,06	0	
27,25	0	28	0	27,06	0	
27,25	0	28	0	27,06	0	
27,25	0	28	0	27,06	0	
27,25	0	28	0	27,06	0	
27,25	0	28	0	27,06	0	
27,25	0	28	0	27,06	0	
27,25	0	28	0	27,06	0	
27,25	0	28	0	27,06	0	
27,25	0	28	0	27,06	0	
27,25	0	28	0	27,06	0	
27,25	0	28	0	27,06	0	
27,25	0	28	0	27,06	0	
27,25	0	28	0	27,06	0	
27,25	0	28	0	27,06	0	
27,25	0	28	0	27,06	0	
27,25	0	28	0	27,06	0	
27,25	0	28	0	27,06	0	
27,25	0	28	0	27,06	0	
27,25	0	28	0	27,06	0	
27,25	0	28	0	27	-0,0599999999999987	
27,25	0	28	0	27	0	
27,25	0	28	0	27	0	
27,25	0	28	0	27	0	
27,25	0	28	0	27	0	
27,25	0	28	0	27	0	
27,25	0	28	0	27	0	
27,25	0	28	0	27	0	
27,25	0	28	0	27	0	
27,25	0	28	0	27	0	
27,25	0	28	0	27	0	
27,25	0	28	0	27	0	
27,25	0	28	0	27	0	
27,25	0	28	0	27	0	
27,25	0	28	0	27	0	
27,25	0	28	0	27	0	
27,19	-0,0599999999999987	28	0	27	0	
27,19	0	28	0	27	0	
27,19	0	28	0	27	0	
27,19	0	28	0	27	0	
27,19	0	28	0	27	0	
27,19	0	28	0	27	0	
27,19	0	28	0	27	0	
27,19	0	28	0	27	0	
27,19	0	28	0	27	0	
27,19	0	28	0	27	0	
27,19	0	28	0	27	0	
27,19	0	28	0	27	0	
27,19	0	28	0	27	0	
27,19	0	28	0	27	0	
27,19	0	28	0	27	0	
27,19	0	28	0	27	0	
27,19	0	28	0	26,94	-0,0599999999999987	
27,19	0	28	0	26,94	0	
27,19	0	28	0	27	0,0599999999999987	
27,19	0	28	0	27	0	
27,19	0	28	0	26,94	-0,0599999999999987	
27,19	0	28	0	26,94	0	
27,19	0	28	0	26,94	0	
27,19	0	28	0	26,94	0	
27,19	0	28	0	26,94	0	
27,19	0	28	0	26,94	0	
27,19	0	28	0	26,94	0	
27,19	0	28	0	26,94	0	
27,19	0	28	0	26,94	0	
27,19	0	28	0	26,94	0	
27,19	0	28	0	26,94	0	
27,19	0	28	0	26,94	0	
27,19	0	28	0	26,94	0	
